id	node1	node1;label	label	label;label	node2	node2;label
Q258-P36-Q37701-738a02d9-0	Q258	'South Africa'@en	P36	'capital'@en	Q37701	'Bloemfontein'@en
Q258-P36-Q3926-c1f34160-0	Q258	'South Africa'@en	P36	'capital'@en	Q3926	'Pretoria'@en
Q258-P36-Q5465-0120ff57-0	Q258	'South Africa'@en	P36	'capital'@en	Q5465	'Cape Town'@en
Q258-P36-Q37701-738a02d9-0-P3831-Q105985-0	Q258-P36-Q37701-738a02d9-0		P3831	'object has role'@en	Q105985	'judiciary'@en
Q258-P36-Q37701-738a02d9-0-P5102	Q258-P36-Q37701-738a02d9-0		P5102	'nature of statement'@en	unknown	
Q258-P36-Q37701-738a02d9-0-P580	Q258-P36-Q37701-738a02d9-0		P580	'start time'@en	unknown	
Q258-P36-Q37701-738a02d9-0-P854	Q258-P36-Q37701-738a02d9-0		P854	'reference URL'@en	https://www.nationsonline.org/oneworld/south_africa.htm	
Q258-P36-Q37701-738a02d9-0-ckgr3	Q258-P36-Q37701-738a02d9-0		ckgr3	ckg:Inferred Context	ckgl1	Atual |Corrente |Hoje
Q258-P36-Q37701-738a02d9-0-P5102-ckgG1	Q258-P36-Q37701-738a02d9-0-P5102		ckgr9	ckg:Context Type	ckgG1	Generic
Q258-P36-Q37701-738a02d9-0-P580-ckgT1	Q258-P36-Q37701-738a02d9-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q258-P36-Q37701-738a02d9-0-P854-P854	Q258-P36-Q37701-738a02d9-0-P854		ckgr9	ckg:Context Type	ckgP1	Provenance
Q258-P36-Q37701-738a02d9-0-ckgr3-ckgT1	Q258-P36-Q37701-738a02d9-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q258-P36-Q3926-c1f34160-0-P3831-Q35798-0	Q258-P36-Q3926-c1f34160-0		P3831	'object has role'@en	Q35798	'executive branch'@en
Q258-P36-Q3926-c1f34160-0-P5102	Q258-P36-Q3926-c1f34160-0		P5102	'nature of statement'@en	unknown	
Q258-P36-Q3926-c1f34160-0-P580	Q258-P36-Q3926-c1f34160-0		P580	'start time'@en	unknown	
Q258-P36-Q3926-c1f34160-0-P854	Q258-P36-Q3926-c1f34160-0		P854	'reference URL'@en	https://www.nationsonline.org/oneworld/south_africa.htm	
Q258-P36-Q3926-c1f34160-0-ckgr3	Q258-P36-Q3926-c1f34160-0		ckgr3	ckg:Inferred Context	ckgl1	Atual |Corrente |Hoje
Q258-P36-Q3926-c1f34160-0-P5102-ckgG1	Q258-P36-Q3926-c1f34160-0-P5102		ckgr9	ckg:Context Type	ckgG1	Generic
Q258-P36-Q3926-c1f34160-0-P580-ckgT1	Q258-P36-Q3926-c1f34160-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q258-P36-Q3926-c1f34160-0-P854-P854	Q258-P36-Q3926-c1f34160-0-P854		ckgr9	ckg:Context Type	ckgP1	Provenance
Q258-P36-Q3926-c1f34160-0-ckgr3-ckgT1	Q258-P36-Q3926-c1f34160-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
Q258-P36-Q5465-0120ff57-0-P3831-Q11204-0	Q258-P36-Q5465-0120ff57-0		P3831	'object has role'@en	Q11204	'legislature'@en
Q258-P36-Q5465-0120ff57-0-P5102	Q258-P36-Q5465-0120ff57-0		P5102	'nature of statement'@en	unknown	
Q258-P36-Q5465-0120ff57-0-P580	Q258-P36-Q5465-0120ff57-0		P580	'start time'@en	unknown	
Q258-P36-Q5465-0120ff57-0-P854	Q258-P36-Q5465-0120ff57-0		P854	'reference URL'@en	https://www.nationsonline.org/oneworld/south_africa.htm	
Q258-P36-Q5465-0120ff57-0-ckgr3	Q258-P36-Q5465-0120ff57-0		ckgr3	ckg:Inferred Context	ckgl1	Atual |Corrente |Hoje
Q258-P36-Q5465-0120ff57-0-P5102-ckgG1	Q258-P36-Q5465-0120ff57-0-P5102		ckgr9	ckg:Context Type	ckgG1	Generic
Q258-P36-Q5465-0120ff57-0-P580-ckgT1	Q258-P36-Q5465-0120ff57-0-P580		ckgr9	ckg:Context Type	ckgT1	Temporal
Q258-P36-Q5465-0120ff57-0-P854-P854	Q258-P36-Q5465-0120ff57-0-P854		ckgr9	ckg:Context Type	ckgP1	Provenance
Q258-P36-Q5465-0120ff57-0-ckgr3-ckgT1	Q258-P36-Q5465-0120ff57-0-ckgr3		ckgr9	ckg:Context Type	ckgT1	Temporal
